 Task Type,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Mean, StdDev,
8 (Plan),0,4.01758,0,0,0,0,0,0,0,0,0.00842285,0.449825,0,0,0,1.00567,0,0,0.0604992,0,0,0,0.0345821,1.4399,1.94172,0,0,0.132734,-1.19E-07,0,2.60564,0.864164,0,0.183504,0,0,0.88345,0,0,0,0,0,0.260389,0,1.01386,0,0,0,0,1.41984,0,1.28846,0,0,0.48477,0,0,0,0,0,0,0.83272,0,0.266863,0,1.2042,0,0,0,0,0,0.0785313,0,0,0,0.0859318,0.913713,0,0,2.03655,1.29376,0,0.393671,0,3.12727,0,0.124426,1.31429,0.107414,0,0,0,0,0,0.576414,0,0.375578,0,1.30595,0,0.321322921,0.700039594, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 (Comm),6,12,7,12,9,16,10,12,10,12,14,12,9,10,10,12,12,8,13,7,6,6,17,9,8,12,6,8,9,15,16,8,12,14,11,9,6,12,10,13,8,13,10,11,9,8,9,12,16,14,5,11,8,5,10,16,10,13,12,7,10,9,9,7,9,7,15,12,11,11,7,8,11,8,4,11,9,10,16,10,9,8,12,14,11,9,7,11,8,9,7,7,12,7,6,15,9,11,11,8,10.12,2.843518947, 
1 (Except),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2 (Paper),9,12,9,15,15,4,9,6,9,12,5,9,18,12,7,11,11,6,16,11,12,11,8,7,14,8,13,13,8,14,12,9,1,7,16,8,16,10,8,14,15,9,8,6,9,5,2,9,7,6,11,12,6,12,6,9,11,5,11,10,13,2,8,9,16,10,11,7,7,8,10,13,8,11,7,15,8,6,5,18,6,9,6,9,10,13,8,12,5,4,7,14,10,10,5,6,3,15,12,11,9.51,3.601374738, 
3 (MOW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
4 (Speed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
5 (Signal),0,1,0,1,2,0,0,4,1,1,2,2,1,1,1,1,2,1,1,0,1,2,1,4,1,0,0,1,0,2,0,1,3,1,0,1,0,0,1,0,0,0,1,0,2,0,1,0,2,1,0,1,0,0,1,0,0,2,0,1,1,1,1,4,1,1,1,1,0,0,0,2,1,3,0,2,1,0,3,3,3,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,1,3,1,0,0.93,1.012472222, 
6 (Mon In),2,3,2,0,2,4,1,1,0,0,1,1,0,2,0,1,1,0,4,7,0,2,2,3,3,1,3,2,1,2,3,4,1,1,4,0,4,1,0,1,1,3,3,2,2,2,0,5,1,3,2,2,3,2,1,6,4,1,1,0,0,3,1,2,1,2,0,0,1,2,2,1,1,2,3,1,2,3,1,2,2,4,3,1,4,2,2,4,1,1,7,3,3,3,3,2,3,2,4,5,2.03,1.49969997, 
7 (Mon Out),1,6,2,6,1,4,3,2,3,4,2,1,3,0,3,3,3,4,0,2,6,3,5,1,1,3,3,0,2,0,4,1,2,3,2,5,1,2,3,5,3,2,2,5,3,4,3,3,3,2,3,5,2,3,5,4,3,0,2,2,8,1,2,4,3,4,2,4,2,2,5,5,2,1,3,7,2,2,3,2,2,2,1,2,3,2,5,1,4,2,1,4,6,6,4,5,1,1,4,2,2.86,1.631073266, 
8 (Plan),0,3,0,0,3,2,1,1,0,0,1,1,0,1,0,1,1,0,2,0,0,1,3,2,3,0,0,3,1,2,3,2,1,1,0,0,4,0,0,0,0,2,2,0,1,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,2,1,1,1,2,0,0,0,0,0,1,1,1,0,1,3,2,1,1,2,1,2,1,4,1,2,1,1,0,0,0,3,0,2,2,2,2,2,0,1.01,1.043982758, 
