Statistic, Task, 0 min, 30 min, 60 min, 90 min,
,, 16.8728, 18.5991, 1.23057, 2.95901, 6.71515, 3.49787, 6.49304, 1.09709, 3.66821, 12.353
,Sum, 19.3188, 22.0137, 6.08846, 18.5136, 10.5824, 13.7133, 9.81315, 12.549, 8.13547, 22.4125
,, 24.1383, 24.6292, 3.57292, 10.8403, 9.94548, 10.8313, 14.8936, 12.7875, 8.61454, 36.9425
, Task, Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9
Number Expired, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,Sum, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
,, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
