Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, 120 min, 130 min, 140 min, 150 min, 160 min, 170 min, 180 min, 190 min, 200 min, 210 min, 220 min, 230 min, Sum
, , 0.554584, 0.702695, 0.568075, 0.683414, 0.0939142, 0.024684, 0.0641712, 0.0746613, 0.091913, 0.0364514, 0.0797462, 0.0603659, 0.0403982, 0.0771446, 0.0557095, 0.0426773, 0.0314392, 0.0212829, 0.058304, 0.0582403, 0.0784289, 0.457779, 0.52635, 0.524497, 1.51652
, Sum, 1.40795, 2.03034, 2.15124, 0.619214, 0.582955, 0.212468, 0.330976, 0.25566, 0.536578, 4.7912, 1.25253, 0.345126, 1.07387, 1.11895, 1.05533, 0.365838, 0.863512, 0.360335, 1.4217, 0.227942, 0.279004, 2.27296, 3.79938, 3.20887, 30.564
, , 1.6571, 2.93443, 2.17191, 1.4521, 1.95609, 0.302624, 0.709633, 0.37313, 2.24538, 36.8565, 5.76196, 0.60508, 5.49462, 6.32119, 7.35688, 0.824029, 5.40511, 1.05823, 8.58378, 0.462902, 0.485361, 5.86765, 12.3776, 10.2938, 42.4554
Number In, 0, 3.73, 3.16, 3.73, 1.82, 1.8, 1.9, 2, 1.8, 2.04, 1.8, 2.04, 1.95, 2.02, 2.1, 1.96, 1.87, 1.88, 2.08, 2.08, 1.89, 2.09, 3.05, 3.28, 3.27, 55.34
, , 2.18283, 1.58732, 1.77443, 1.59152, 1.40705, 1.38899, 1.41421, 1.557, 1.42786, 1.4425, 1.21373, 1.48647, 1.41407, 1.40346, 1.27065, 1.39012, 1.33545, 1.37569, 1.3903, 1.42059, 1.41489, 1.58513, 1.6942, 1.83598, 6.70025
, 1, 0, 0, 0, 0.03, 0.02, 0.01, 0.02, 0.01, 0.01, 0.07, 0.02, 0.02, 0.06, 0.02, 0.05, 0.05, 0.04, 0.04, 0.02, 0.03, 0.04, 0.04, 0.04, 0.02, 0.66
, , 0, 0, 0, 0.171447, 0.140705, 0.1, 0.140705, 0.1, 0.1, 0.256432, 0.140705, 0.140705, 0.238683, 0.140705, 0.219043, 0.219043, 0.196946, 0.196946, 0.140705, 0.171447, 0.196946, 0.196946, 0.196946, 0.140705, 0.806789
, 2, 3.25, 3.39, 3.34, 0.24, 0.37, 0.3, 0.4, 0.37, 0.26, 0.27, 0.14, 0.35, 0.36, 0.37, 0.33, 0.37, 0.31, 0.35, 0.32, 0.34, 0.36, 3.4, 3.51, 3.4, 26.1
, , 1.74295, 1.7109, 1.64052, 0.473969, 0.580056, 0.627646, 0.603023, 0.613896, 0.543464, 0.489382, 0.348735, 0.657129, 0.611671, 0.645967, 0.569512, 0.645967, 0.614554, 0.592461, 0.566399, 0.535978, 0.611671, 1.65145, 1.85044, 1.67573, 4.99798
, 3, 0, 0, 0, 0.01, 0, 0.01, 0.03, 0.04, 0, 0, 0.02, 0.02, 0.03, 0, 0, 0.01, 0.03, 0.01, 0.02, 0, 0.02, 0.14, 0.21, 0.14, 0.74
