Statistic Type, Time (min), Run 0, Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Mean, Std Dev
, 7, 49, 62, 43, 57, 52, 54, 50, 56, 47, 49, 51.9, 5.50656, 
, 8, 20, 19, 21, 17, 25, 13, 18, 17, 12, 24, 18.6, 4.19524, 


Number Expired, 0, 1, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0.6, 0.699206, 
, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0.3, 0.483046, 
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.1, 0.316228, 
, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 



