Statistic Type, Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9, Rep 10, Rep 11, Rep 12, Rep 13, Rep 14, Rep 15, Rep 16, Rep 17, Rep 18, Rep 19, Rep 20, Rep 21, Rep 22, Rep 23, Rep 24, Rep 25, Rep 26, Rep 27, Rep 28, Rep 29, Rep 30, Rep 31, Rep 32, Rep 33, Rep 34, Rep 35, Rep 36, Rep 37, Rep 38, Rep 39, Rep 40, Rep 41, Rep 42, Rep 43, Rep 44, Rep 45, Rep 46, Rep 47, Rep 48, Rep 49, Rep 50, Rep 51, Rep 52, Rep 53, Rep 54, Rep 55, Rep 56, Rep 57, Rep 58, Rep 59, Rep 60, Rep 61, Rep 62, Rep 63, Rep 64, Rep 65, Rep 66, Rep 67, Rep 68, Rep 69, Rep 70, Rep 71, Rep 72, Rep 73, Rep 74, Rep 75, Rep 76, Rep 77, Rep 78, Rep 79, Rep 80, Rep 81, Rep 82, Rep 83, Rep 84, Rep 85, Rep 86, Rep 87, Rep 88, Rep 89, Rep 90, Rep 91, Rep 92, Rep 93, Rep 94, Rep 95, Rep 96, Rep 97, Rep 98, Rep 99, Mean, Std Dev
, 3, 0.535873, 0, 0, 0, 0, 2.80319, 0, 0, 0, 0.0547409, 3.89575, 0, 0.320312, 0, 1.35645, 0, 0, 3.48019, 0, 2.75816, 0, 3.10907, 0, 1.23896, 0.313805, 0, 0, 0, 0, 0, 0, 0, 1.17662, 0, 0, 0, 0, 0, 0, 0, 0, 0.40992, 0, 0, 0, 0.412773, 0, 0.637032, 0, 0, 0.0685654, 0, 1.10413, 0, 0, 0, 0, 0, 0.434891, 0, 2.15688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.30629, 0, 0, 0.121689, 0, 0, 0, 0, 3.14126, 0, 0.26104, 0.0352325, 0, 0, 0, 0, 0, 0, 0, 0, 0.0679855, 0, 0.903343, 0, 0.0738297, 6.69465, 0.408726, 1.07451, 
, 4, 0, 0, 0, 0, 0, 0, 0.243309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0468178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.466442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00756569, 0.0525353, 
, 5, 0, 0.142471, 1.14948, 4.90321, 0.962547, 0.956612, 0.180573, 1.2971, 4.35967, 0, 0.341221, 0, 0, 0, 0.0853424, 0.666618, 0, 0.00527191, 1.30305, 0.033844, 3.35182, 0, 0.629929, 0, 0.0952215, 2.21566, 1.84715, 1.84708, 1.16242, 0.668111, 0, 2.386, 0, 0, 0, 0.329254, 0.148643, 0.246071, 0, 0, 0.237831, 0.378765, 0, 0.329437, 0.912903, 0, 0.01091, 0.130047, 2.07922, 2.28566, 0, 0.675468, 0.859756, 0.329689, 0, 2.60309, 1.38498, 0, 1.11929, 6.4224, 5.84677, 0.0523605, 3.89497, 1.25471, 0.739758, 0, 0, 0.0422058, 1.25594, 0, 0, 0, 1.26364, 0, 0, 0, 0, 0.757269, 1.84307, 0.356316, 0.982986, 0, 0.0899429, 0.558861, 0, 0, 4.8581, 0, 0, 0.216698, 0.649567, 0, 0.272014, 0.555069, 1.43539, 0, 0.425446, 0.634895, 0.358063, 0, 0.794179, 1.30526, 
, 6, 0, 0, 0.177841, 0.243374, 0.0113983, 9.14944, 0, 4.40937, 0, 0, 0.178436, 0.56044, 0.512768, 5.06149, 0, 0.369381, 0.193321, 1.7215, 0.189629, 0, 0, 0, 0, 0, 0.534817, 0, 0.389454, 0.411739, 0, 0.0643921, 0, 0.530523, 0, 13.9884, 0.147327, 0.525907, 0.331539, 0.0681477, 0.508568, 0.0395813, 0.406616, 0, 0, 0, 0.626697, 0, 8.68088, 1.91093, 0.556211, 0.242429, 2.67207, 0, 0.156155, 9.09134, 0, 0, 0.18844, 0.436714, 0, 0.216412, 0.463806, 0.613891, 0.226948, 0, 0, 0, 0.988146, 0.0852957, 0.0387845, 0, 0.00310516, 0.0586243, 0, 0.344156, 0, 0.314461, 0, 11.777, 0.0445633, 0.426277, 0.423603, 0.736223, 0, 0, 1.34983, 0.184631, 0, 0.0281258, 0, 0, 0.329247, 0.588953, 0, 1.9484, 0, 0, 0.223629, 1.47575, 0.0249634, 0, 0.88202, 2.4035, 
, 7, 2.71825, 0.209005, 0.564514, 2.1159, 2.58647, 0.170521, 3.47946, 6.60261, 1.27969, 1.5934, 0.915678, 0, 0.629274, 1.67476, 0.11333, 0.0566521, 0.435671, 35.7493, 4.97653, 19.1345, 0.759663, 4.34385, 0, 36.5353, 0.163162, 0.746052, 6.94942, 1.36496, 0, 0.935139, 1.89394, 6.32758, 2.92753, 0.580956, 2.29053, 0.0884552, 1.0867, 11.126, 1.01158, 2.52836, 0.034256, 7.01517, 5.23173, 0, 0.45682, 28.2715, 14.1028, 9.77157, 11.9921, 2.02752, 0.408195, 31.3744, 0.908562, 10.3484, 61.4196, 0.0181198, 1.87406, 0.120571, 2.201, 1.96523, 51.6668, 0.26046, 2.52342, 0.0148392, 2.44865, 6.37683, 0.0296326, 1.18688, 4.18517, 6.01636, 0.0785141, 2.58726, 2.35467, 0.763166, 0.112267, 1.03961, 2.66853, 36.9106, 6.54132, 13.3823, 9.5288, 5.01078, 72.6213, 0.135086, 4.06153, 0.012764, 3.46724, 4.41413, 1.12543, 43.4365, 3.27721, 1.36157, 1.69864, 14.2548, 4.80209, 6.21156, 15.6073, 0.615792, 0.874003, 0.285522, 6.90156, 13.1096, 
, 8, 0, 0.78904, 0.118507, 0, 0.126938, 0.146301, 0.924757, 0.0485916, 0.0740089, 1.10262, 0, 0.3575, 0.0895596, 0.784031, 0, 0, 1.02097, 0, 0.334328, 0, 0.866093, 0, 0.137871, 0.442671, 0.245918, 0, 0.321745, 0, 1.69722, 0.679321, 0.469, 0.181587, 0, 0, 0, 0, 0, 0.184235, 0.0176754, 0, 0, 0.11129, 0.523512, 2.15536, 0, 0.468737, 0, 0, 0.307518, 0.124277, 0.114616, 0.0743237, 0, 1.95098, 0.366615, 0, 0, 0, 2.01692, 0.147442, 0.0498886, 0.610756, 0, 0, 0, 0.284569, 0, 0, 0, 0.184097, 0.357933, 0, 0, 1.46841, 2.91999, 0, 0.659401, 0.708588, 0, 0, 0, 0, 0.446373, 0.295241, 5.29794, 0.5299, 0, 0.940109, 0.37027, 0.194342, 1.85687, 0, 0, 0.349315, 0.61869, 0.532555, 0.233142, 0, 0, 0.814103, 0.392446, 0.73999, 


Number In, 0, 26, 28, 39, 37, 31, 33, 39, 22, 36, 35, 29, 29, 40, 34, 28, 21, 33, 37, 29, 39, 34, 23, 31, 33, 32, 36, 29, 29, 30, 30, 34, 39, 30, 35, 40, 33, 33, 30, 29, 33, 29, 30, 22, 30, 32, 44, 47, 29, 34, 27, 24, 33, 33, 33, 38, 30, 26, 30, 27, 40, 36, 28, 20, 25, 31, 26, 30, 34, 33, 19, 23, 38, 31, 32, 31, 30, 35, 30, 36, 26, 30, 42, 38, 36, 32, 35, 32, 31, 28, 30, 50, 28, 44, 39, 39, 41, 37, 31, 37, 35, 32.35, 5.65752, 
, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 2, 0, 1, 0, 0, 2, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.33, 0.55149, 
, 2, 25, 15, 31, 20, 18, 29, 22, 19, 21, 21, 25, 22, 23, 13, 20, 20, 23, 23, 23, 24, 19, 26, 21, 36, 21, 20, 27, 28, 17, 22, 21, 25, 21, 19, 18, 23, 30, 23, 14, 18, 16, 25, 21, 23, 18, 16, 26, 23, 27, 30, 30, 21, 15, 23, 20, 20, 29, 18, 27, 27, 18, 11, 18, 23, 22, 20, 24, 19, 28, 21, 21, 21, 24, 23, 21, 18, 20, 25, 14, 16, 18, 23, 18, 18, 28, 12, 23, 19, 16, 27, 14, 21, 29, 31, 26, 20, 23, 19, 16, 27, 21.76, 4.65392, 
, 3, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 2, 2, 1, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 3, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 2, 0, 1, 0, 1, 2, 0.57, 0.742028, 
